,Symbol,2021,2020,2019,2018,2017,2016
305,MKC,6.589,6.78,6.96,6.41,7.28,10.61
306,MCD,13.13,9.06,14.93,18.63,16.66,14.27
307,MCK,5.69,4.42,4.49,4.45,4.36,4.41
308,MDT,8.15,6.54,5.31,7.83,6.83,6.41
309,MRK,15.49,17.14,16.02,13.63,11.93,10.69
310,META.O,24.21,19.92,16.02,24.32,24.34,21.63
311,MET,1.02,0.73,0.81,0.78,0.52,0.57
312,MTD,25.98,22.92,21.03,20.27,19.66,19.39
313,MGM,-0.84,-2.95,1.27,1.57,2.28,1.91
314,MCHP.O,15.98,10.53,8.05,12.3,17.01,14.18
315,MU.O,15.14,12.4,6.31,15.85,37.35,17.97
316,MSFT.O,19.879,19.3,15.06,13.51,12.11,11.91
317,MAA,,,,,,
318,MRNA.O,76.25,-16.74,-28.949,-25.26,,
319,MHK,7.2,4.55,5.48,7.32,8.52,9.32
320,MOH,7.29,7.839,10.66,17.05,-5.4,0.4
321,TAP,3.28,3.03,3.34,3.62,3.25,
322,MDLZ.O,5.839,5.63,5.66,5.74,5.25,4.9
323,MPWR.O,25.53,21.88,20.31,23.07,21.94,20.44
324,MNST.O,19.67,22.31,23.079,21.88,17.93,16.0
325,MCO,17.05,16.94,16.05,3.49,16.91,18.0
326,MS,1.26,1.06,0.97,0.96,0.79,0.69
327,MOS,9.189,1.66,1.209,4.22,2.15,1.81
328,MSI,13.769,12.44,13.94,13.96,11.07,10.13
329,MSCI.K,17.109,15.74,14.509,14.41,11.52,9.4
330,NDAQ.O,6.679,6.46,5.64,5.22,4.6,4.77
331,NTAP.O,12.47,10.859,11.61,12.59,9.89,7.86
332,NFLX.O,12.199,7.54,6.23,5.38,3.43,1.57
333,NWL.O,5.389,5.01,4.33,4.99,4.0,5.95
334,NEM,5.79,5.26,3.2,3.48,3.75,2.68
335,NWSA.O,4.19,2.56,0.86,1.68,1.67,1.39
336,NWS.O,4.19,2.56,0.86,1.68,1.67,1.39
337,NEE,3.74,3.71,3.67,3.65,3.37,3.34
338,NKE,15.49,16.58,9.22,17.42,17.31,19.0
339,NI,2.47,2.27,2.229,2.22,2.06,1.94
340,NDSN.O,12.169,8.91,9.85,10.24,10.72,11.26
341,NSC,7.86,6.26,7.34,7.41,5.44,4.83
342,NTRS.O,0.84,0.79,1.08,1.27,0.83,0.82
343,NOC,9.47,9.26,9.16,10.26,7.71,8.79
344,NLOK.O,15.539,12.29,4.87,6.62,6.64,5.09
345,NCLH.K,-15.89,-12.539,6.91,7.54,4.63,6.15
346,NRG,11.49,3.7,7.629,2.88,1.02,0.49
347,NUE,29.859,5.21,7.16,14.37,7.41,4.91
348,NVDA.O,30.859,27.23,23.39,33.77,27.64,19.36
349,NVR,21.3,18.8,25.19,25.9,21.31,16.5
350,NXPI.O,14.57,8.73,10.39,10.26,9.49,8.08
351,ORLY.O,18.57,15.71,14.88,17.03,14.6,14.1
352,OXY,3.17,-3.79,1.5,8.45,1.61,-1.78
353,ODFL.O,22.51,16.08,16.32,18.32,12.67,11.46
354,OMC,3.97,4.01,5.21,5.28,4.96,5.05
355,ON.O,14.06,4.18,7.66,11.33,8.85,7.08
356,OKE,6.419,4.91,6.379,6.56,3.2,2.24
357,ORCL.K,11.37,11.46,11.32,10.68,9.73,9.35
358,OGN,15.99,,,,,
359,OTIS.K,11.28,10.75,,,,
360,PCAR.O,6.429,4.58,8.87,8.97,6.81,6.49
361,PKG,11.71,7.5,10.509,11.82,9.51,
362,PARA.O,4.12,5.08,8.66,9.27,7.95,7.67
363,PH,10.55,9.82,7.51,9.5,9.16,7.98
364,PAYX.O,14.5,12.4,12.57,12.74,12.87,12.04
365,PAYC.K,8.939,7.99,10.21,10.29,1.37,5.28
366,PYPL.O,7.459,7.57,7.78,6.93,6.28,5.89
367,PNR,12.75,10.06,10.19,6.69,6.42,4.67
368,PEP.O,9.38,8.97,9.96,10.24,9.82,8.8
369,PKI,11.509,12.78,7.31,6.67,6.2,6.81
370,PFE,15.029,13.3,10.24,10.84,9.37,8.71
371,PCG,2.129,2.21,2.56,2.85,2.77,2.86
372,PM,22.019,18.37,19.52,19.15,18.37,19.68
373,PSX,4.57,-0.67,6.469,10.21,4.28,2.99
374,PNW,2.94,2.86,2.98,2.95,2.96,2.85
375,PXD,11.65,1.77,7.44,6.19,2.21,-0.22
376,PNC,1.06,1.68,1.35,1.4,1.1,1.1
377,POOL.O,,,,,,
378,PPG,7.919,7.259,8.779,8.9,9.37,9.43
379,PPL,1.98,3.94,4.05,4.02,3.89,4.31
380,PFG.O,,,,0.64,2.45,0.6
381,PG,12.47,12.279,11.4,10.18,9.39,8.67
382,PGR,3.029,7.35,6.04,6.87,4.4,3.14
383,PLD,5.12,3.07,3.99,4.84,5.5,3.9
384,PRU,0.61,0.45,0.49,0.61,0.58,0.53
385,PEG,14.97,3.56,3.58,3.59,3.59,3.8
386,PTC.O,11.769,11.91,9.87,8.289,7.3,5.85
387,PSA,11.869,9.48,11.419,12.35,11.23,11.89
388,PHM,14.96,12.28,9.51,11.06,6.32,7.09
389,QRVO.O,18.699,16.39,12.17,12.04,10.4,9.19
390,PWR,6.73,6.63,6.389,6.39,5.22,4.51
391,QCOM.O,31.59,25.539,14.05,13.169,11.09,10.84
392,DGX,13.22,11.37,7.51,7.42,7.18,6.8
393,RL,7.98,1.67,7.657,9.72,8.44,8.04
394,RJF,2.259,2.73,2.47,2.799,2.67,2.31
395,RTX,3.98,2.46,5.21,5.33,5.7,6.16
396,O,1.129,2.01,2.58,2.48,2.22,2.31
397,REG.O,3.33,1.629,2.17,2.26,1.92,3.32
398,REGN.O,38.789,22.94,21.3,25.58,24.16,20.97
399,RF,1.55,0.79,1.2,1.27,1.04,0.87
400,RSG,5.5,4.93,4.85,4.75,3.94,3.7
401,RMD,17.32,16.76,15.94,14.68,15.55,11.93
402,RHI,21.73,12.58,21.57,23.28,17.79,19.73
403,ROK,10.349,12.31,13.41,16.73,15.35,12.32
404,ROL,18.339,,16.83,21.78,19.12,18.96
405,ROP,6.32,6.39,8.22,8.34,6.81,5.5
406,ROST.O,13.07,2.86,21.539,26.48,23.26,21.96
407,RCL,-14.929,-12.5,6.9,7.49,7.29,6.08
408,SPGI.K,24.019,23.699,22.61,22.79,19.72,16.85
409,CRM,5.77,7.54,5.929,8.24,5.14,4.65
410,SBAC.O,2.509,0.25,1.73,0.65,1.41,1.04
411,SLB,4.36,1.93,3.24,3.17,2.78,2.12
412,STX.O,20.81,15.69,14.72,15.03,17.23,14.06
413,SEE,8.779,8.41,8.109,7.76,5.4,7.12
414,SRE,3.799,3.55,3.029,2.71,2.79,2.85
415,NOW,11.85,12.56,13.05,12.66,7.9,6.35
416,SHW,10.6,11.05,9.96,9.0,10.699,18.9
417,SBNY.O,0.95,0.87,1.2,1.12,0.94,1.09
418,SPG,6.549,3.36,6.78,7.74,6.14,6.33
419,SWKS.O,20.96,25.6,20.94,22.269,28.15,28.59
420,SJM,5.95,6.16,5.93,5.89,5.92,5.67
421,SNA,19.7,10.4,12.38,12.74,11.89,11.87
422,SEDG.O,10.24,11.42,18.97,19.59,21.58,
423,SO,2.89,2.85,2.759,2.74,2.73,2.9
424,LUV,-3.58,-11.61,9.19,9.48,8.71,10.63
425,SWK,6.679,6.38,6.33,6.42,6.54,6.27
426,SBUX.O,11.55,12.64,5.69,16.089,17.55,20.98
427,STT,0.85,0.85,1.7,1.13,1.01,0.86
428,STE,8.64,8.82,9.189,8.13,7.099,6.3
429,SYK,10.08,8.77,10.94,11.25,11.56,11.96
430,SIVB.O,1.08,1.39,1.8,1.76,1.11,0.87
431,SYF,4.36,1.4,2.73,2.8,2.3,2.7
432,SNPS.O,12.83,11.98,11.189,10.39,9.95,9.08
433,SYY,3.84,3.36,5.08,10.31,9.26,7.88
434,TMUS.O,1.49,2.13,4.35,4.04,3.42,2.19
435,TROW.O,25.85,22.78,22.62,23.57,22.31,20.99
436,TTWO.O,9.4,13.88,13.21,13.94,13.4,8.32
437,TPR,11.97,10.32,3.66,11.05,12.15,11.36
438,TRGP.K,2.81,-9.71,-1.87,0.58,-2.44,-1.43
439,TGT,12.72,10.12,7.839,7.07,6.78,7.5
440,TEL,11.27,10.66,7.3,9.419,9.95,9.35
441,TDY,,,,,,
442,TFX,9.019,7.49,8.34,7.44,7.73,8.63
443,TER.O,28.16,24.859,17.95,16.13,15.98,8.31
444,TSLA.O,13.4,5.61,0.11,-0.78,-8.0,-2.69
445,TXN.O,35.289,29.8,28.54,32.09,26.15,21.16
446,TXT,4.79,3.12,5.94,5.71,4.29,4.76
447,TMO,26.48,12.28,8.7,8.0,7.37,7.57
448,TJX,11.689,1.37,17.01,21.56,19.06,19.31
449,TSCO.O,13.46,13.07,13.43,17.88,15.42,17.33
450,TT,8.14,5.61,8.11,7.78,6.54,6.33
451,TDG,5.33,3.75,4.79,7.23,8.94,6.64
452,TRV,2.969,2.37,,2.34,2.01,2.96
453,TRMB.O,9.689,8.32,8.099,9.76,9.52,8.22
454,TFC,1.42,0.9,0.94,1.47,1.03,1.12
455,TYL,8.08,9.55,10.68,,,
