Instrument,ROA,EScore,SScore,GScore,Firm Size,Total Debt,Total Equity,Board Size,Board Diversity,Leverage Ratio,EScore * Board Diversity,SScore * Board Diversity,GScore * Board Diversity,Year
26,11.48313,69.9677531342291,92.7531179118957,85.3148148148148,23.958998778881035,9898000000.0,9344000000.0,9,44.4444444444444,1.059289383561644,3109.677917076846,4122.360796084249,3791.7695473250983,2019
27,5.01013,55.6087750108436,85.053803432891,91.0592941764296,24.102660592647723,6849000000.0,16617000000.0,9,22.2222222222222,0.4121682614190287,1235.7505557965233,1890.0845207309092,2023.5398705873224,2019
28,7.74233,61.297941882437,89.2487994470875,89.6750841750841,24.37319654092177,18659000000.0,8742000000.0,9,55.5555555555555,2.1344086021505375,3405.441215690941,4958.266635949301,4981.949120838,2019
29,6.03133,65.9523315345232,81.9359326870054,85.5882352941176,24.421476618489233,7624000000.0,13012000000.0,15,40.0,0.5859206885951429,2638.0932613809277,3277.437307480216,3423.5294117647036,2019
30,6.131,91.8701189431828,65.5307244868905,55.9803921568627,23.194633665778717,1701276000.0,5887805000.0,16,37.5,0.2889491075196954,3445.129460369355,2457.402168258394,2099.2647058823513,2019
31,-0.481,68.7317353026943,58.7411576136404,54.8039215686274,23.429187106815178,5141000000.0,5478200000.0,11,9.09090909090909,0.938446935124676,624.8339572972209,534.0105237603672,498.2174688057036,2019
32,0.7,81.0763446327984,82.8675374163767,83.8235294117647,26.22734800331065,33967938000.0,15619828000.0,19,36.8421052631578,2.1746678644604795,2987.023223313617,3053.014536392818,3088.2352941176387,2019
33,5.71575,93.4952741990833,71.287726119999,48.3139301485347,22.672511844405467,1715146000.0,2593467000.0,11,27.2727272727272,0.6613332654705072,2549.8711145204466,1944.2107123636035,1317.6526404145793,2019
34,10.2,41.4333492594362,78.9267158873393,25.5877234614776,21.964014059434962,180900000.0,2646300000.0,12,33.3333333333333,0.06835959641763972,1381.1116419812051,2630.890529577974,852.9241153825859,2019
35,0.8785,91.5266216877887,79.1214794358152,33.4899541211833,26.395182617196944,21178000000.0,20222000000.0,18,33.3333333333333,1.0472752447829097,3050.8873895929537,2637.382647860504,1116.3318040394422,2019
37,4.7505,89.5237099105044,72.0287323701136,49.7500395507039,23.78230149416964,4514000000.0,9515000000.0,16,37.5,0.4744088281660536,3357.1391216439147,2701.07746387926,1865.6264831513963,2019
38,8.13775,75.1683501683501,89.4654562308216,77.568580222133,23.1284977669006,1281000000.0,7039000000.0,13,30.7692307692307,0.18198607756783633,2312.8723128723054,2752.783268640658,2386.7255452963946,2019
