,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
97,CE,3967.0,3723.0,3905.0,3531.0,3641,3008,2981,2723,3064,3098,3017
98,CNC,18838.0,16779.0,13726.0,6686.0,4699.0,4655.0,1221.0,879.0,668.762,538.854,351.578
99,CNP,16103.0,13440.0,15112.0,9164.0,8840,8592,8770,8857,8357,9795,9187
100,CDAY.K,1132.7,667.8,677.1,670.3,1119.8,1142.1,,,,,
101,CF,3465.0,3961.0,3957.0,4698.0,4692.0,5778.0,5537.0,4592.5,3098.1,1605.0,1617.8
102,CRL,2666.359,1979.785,1888.211,1668.014,1145.103,1235.009,863.03,772.461,663.789,666.52,717.945
103,SCHW.K,467547.0,371654.0,227524.0,238301.0,189409,166330,132379,104714,94875,81009,62855
104,CHTR.O,91561.0,82752.0,79140.0,72827.0,70231,61747,35723,20887,14181,12808,12856
105,CVX,31369.0,44315.0,26973.0,34459.0,38763,46126,38549,27818,20431,12192,10152
106,CMG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.529,3.662
107,CB,16476.0,15256.0,15166.0,12904.0,12877,13418,9696,6218,6017,5070,4920
108,CHD,2562.9,2163.9,2063.1,2107.1,2374.3,1120.2,1050.0,1086.6,803.3,903.2,252.3
109,CI,33670.0,32919.0,37407.0,42478.0,5439,5032,5169,5126,5247,5187,5094
110,CINF.O,897.0,899.0,885.0,866.0,851,846,856,876,939,931,925
111,CTAS.O,2795.506,2541.903,2539.705,2849.771,2535.309,3133.524,1294.422,1300.0,1300.98,1309.166,1284.802
112,CSCO.O,9515.0,11526.0,14583.0,24666.0,25569,33717,28643,25354,20845,16211,16328
113,C,468332.0,485825.0,437048.0,422113.0,394338,345100,351050,443653,458572,482426,560319
114,CFG,6987.0,8570.0,9313.0,9734.0,14436,17149,13318,15171,8392,4741,10494
115,CLX,2730.0,2804.0,2794.0,2683.0,2483,2195,2312,2191,2313,2372,2721
