,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
197,FITB.O,True,100.0,29.3657640309774,43.91671324714,55.637584385037,41.9885430661293,50.3949687579675,14.8148148148148
198,FRC,False,,22.55342889952,22.55342889952,15.2471083070452,18.7735250165728,36.7826680313886,100.0
199,FE,True,100.0,30.6144981549854,50.8123296433041,51.3823948382771,28.6321601895372,78.6774391017469,10.4166666666666
200,FIS,False,,39.7819241460699,39.7819241460699,0.0,60.6666666666666,30.3343568747867,100.0
201,FISV.O,False,,15.1547791745261,15.1547791745261,0.0,16.3006275879917,24.2989849572662,100.0
202,FLT,False,,6.06804975977885,6.06804975977885,0.0,11.1586834311019,3.81098601160013,100.0
203,FMC,True,100.0,42.9686118526081,42.9686118526081,35.2089307296557,46.0297352188836,51.4904783547464,100.0
204,F,True,100.0,37.4680961907437,73.5076209529161,81.4522651603225,88.1283462960711,37.4486597272772,1.42857142857142
205,FTNT.O,False,,24.6045181179819,24.6045181179819,8.65191867124856,47.3362366628301,9.81576253838281,100.0
206,FTV,,,,,,,,
207,FBHS.K,False,,24.6933878284659,24.6933878284659,7.21153846153846,38.0663021903402,26.4688928385354,100.0
208,FOXA.O,,,,,,,,
209,FOX.L,,,,,,,,
210,BEN,False,,44.9615515977235,44.9615515977235,37.7469135802469,47.1362057613611,50.5562350425613,100.0
211,FCX,True,100.0,78.7912230560817,78.7912230560817,82.9428593349327,81.6404280722756,68.1710139465221,90.0
212,GRMN.K,False,,49.0773657289003,49.0773657289003,37.4567474048443,61.3342696629213,43.5416666666666,100.0
213,IT,False,,41.3199393108042,41.3199393108042,0.0,21.5852801194512,70.7096554077107,100.0
214,GNRC.K,,,,,,,,
215,GD,False,,40.1789157840094,40.1789157840094,33.6964984530907,35.4692097519966,51.3169566700785,100.0
216,GE,True,100.0,44.3431200138417,80.9939323353758,83.7895142382972,77.6767245837211,82.2934226068406,7.69230769230769
217,GIS,True,60.0,69.4441896278172,81.312621679877,84.8202845178651,85.0947517917531,70.9195121981261,57.5757575757575
218,GM,True,100.0,29.31165530735,54.3375963289857,66.0193366918848,41.1467941107776,60.4808058264265,4.28571428571428
219,GPC,False,,18.0369597009001,18.0369597009001,0.0,22.8077676291813,35.1518253155919,100.0
220,GILD.O,False,,50.2156910319515,50.2156910319515,0.0,65.9515458030834,77.611847461531,75.0
221,GL,False,,30.8379880983523,30.8379880983523,19.1275167785234,30.9329895571506,41.0064824292051,100.0
222,GPN,False,,24.0599983220468,24.0599983220468,0.0,9.87471603979755,59.0276356192426,100.0
223,GS,True,100.0,35.5730499188201,59.7824634740039,89.8209876543209,73.9429803257248,41.4464697673444,11.3636363636363
224,HAL,True,100.0,37.3681852832405,71.6113705664811,73.7328296703296,70.8351507199798,70.2402920603483,3.125
225,HIG,True,100.0,60.3667785998033,64.4835571996066,74.2401626057342,53.6291835798349,79.9164169397958,56.25
226,HAS.O,True,100.0,72.7083178692724,72.7083178692724,51.5151515151515,89.1071980228606,57.7940279866533,100.0
227,HCA,True,100.0,32.1187063876198,32.1187063876198,0.0,56.3317847464188,19.1223655508709,75.0
228,PEAK.K,True,100.0,75.409751136235,75.409751136235,64.7628451448676,83.0132107331886,80.6923377268018,100.0
229,HSIC.O,True,,44.1413949883939,44.1413949883939,39.0019379844961,33.2629452542545,60.86310040683,100.0
230,HSY,True,100.0,54.7959809529353,70.1980225119313,80.8130305106111,73.8022563529854,52.2941985768955,39.3939393939393
231,HES,True,100.0,70.7429715499206,70.7429715499206,89.2896668858207,76.0686574742554,34.0436784922039,100.0
232,HPE,,,,,,,,
233,HLT,,,,,,,,
234,HOLX.O,False,,30.9090005743045,30.9090005743045,0.415282392026577,15.4324288973826,65.5168884339816,100.0
235,HD,True,100.0,32.8151764282466,62.8525750787156,64.0237008045227,73.4105739939073,50.7634436812019,2.77777777777777
236,HON.O,True,,57.1469306859406,68.1400152180351,62.7412014962724,63.8053314717137,83.1141772192435,46.1538461538461
237,HRL,True,93.62,71.8885963970896,71.8885963970896,73.8789336571594,81.0341466873601,53.8977468539341,89.3939393939393
238,HST.O,True,100.0,69.4720921911787,69.4720921911787,64.8107722489745,59.2516125166927,84.5061935959068,100.0
239,HWM,True,100.0,49.7292928425025,71.6808079072273,74.8463335177331,94.698018228606,38.1583151349879,27.7777777777777
240,HPQ,True,100.0,49.1056885486405,73.2113770972811,57.8974358974359,83.7071313460885,67.2555663534457,25.0
241,HUM,True,100.0,59.8499547964456,59.8499547964456,78.5652173913043,66.8437862950058,42.0997257007441,92.8571428571428
242,HBAN.O,False,,41.323591103336,41.323591103336,16.9801466551278,44.5613873519881,52.6988484850724,51.2345679012345
243,HII,False,,39.9795749459528,39.9795749459528,3.53535353535353,44.0880058233117,61.1361310133061,100.0
244,IBM,True,100.0,67.616797245701,78.7118553609672,81.6723178816017,92.4472602566864,65.9960068334632,56.5217391304347
245,IEX,True,100.0,28.9876078376582,28.9876078376582,16.4026710148303,30.8551384327888,41.6409919114359,100.0
246,IDXX.O,False,,29.6811310590095,29.6811310590095,0.0,21.1671438329288,54.7424087342204,65.0
247,ITW,True,90.0,48.3709169261181,48.3709169261181,31.2031756276178,52.7276605646912,66.4584603522411,100.0
248,ILMN.O,False,,20.720058772206,20.720058772206,0.0,25.4675779538806,24.1385192766973,42.5
249,INCY.O,,,,,,,,
250,IR,,,,,,,,
251,INTC.O,True,100.0,65.3475785612343,85.6951571224686,90.9633970443045,95.3344336318666,63.4684629757589,45.0
252,ICE,False,,29.7160677503228,29.7160677503228,17.5555555555555,42.5226451956663,27.8164448993517,100.0
253,IP,True,100.0,64.6870839185781,64.6870839185781,63.0349629332798,55.5514245535628,82.7002033534223,83.3333333333333
254,IPG,False,,53.7002399815995,53.7002399815995,35.3521634615384,41.3067010277284,76.1344251108837,100.0
255,IFF,True,100.0,73.6816371232325,73.6816371232325,72.4901705748479,69.5334396086119,82.1594138100499,100.0
256,INTU.O,False,,64.3123550954214,64.3123550954214,59.3905941544198,56.4205737805999,71.8731917126398,100.0
257,ISRG.O,False,,29.9897902293157,29.9897902293157,0.0,27.2612386668687,47.5776185602183,82.5
258,IVZ,False,,37.9330268714087,37.9330268714087,26.5493827160493,46.6388995035907,39.2631610063962,100.0
259,INVH.K,,,,,,,,
260,IQV,,,,,,,,
261,IRM,True,44.0,56.1443932133003,56.1443932133003,61.8423399322276,72.2097667034025,34.4131880421782,100.0
262,JBHT.O,False,,42.5966865046442,42.5966865046442,21.6493802640773,36.3888888888888,75.8035908938066,64.2857142857142
263,JKHY.O,,,,,,,,
264,J,True,100.0,61.6457856262221,61.6457856262221,61.0347985347985,67.9892562751453,53.7612746601436,65.9090909090909
265,JNJ,True,100.0,46.9623964028582,89.8707387516624,93.934652852637,92.6311200249894,82.7652986191428,4.05405405405405
266,JCI,True,100.0,79.5148491828179,79.8630316989693,96.6379377280844,94.8615366267062,40.0684380032205,79.1666666666666
267,JPM,True,100.0,36.6140646004946,71.3762773491373,75.8326021545961,76.9554856526491,67.1901385291303,1.85185185185185
268,JNPR.K,False,,47.9925238644169,47.9925238644169,50.6055363321799,66.7377425944842,27.9748782773957,75.0
269,K,True,100.0,70.9351658330736,70.9351658330736,81.1457495933302,74.8841831226274,52.8804993798398,74.2424242424242
270,KDP.O,True,100.0,55.3216504097249,60.6433008194499,54.8230233779879,56.3884642258322,75.4518054852461,50.0
271,KEY,True,100.0,62.4820017900658,62.4820017900658,74.5338661864172,53.6010129099673,75.1805854755649,87.037037037037
272,KEYS.K,,,,,,,,
273,KMB,True,51.04,69.3039794315359,69.3039794315359,63.0494708994709,74.184668989547,66.0682582674682,100.0
274,KIM,True,100.0,46.7942291989373,46.7942291989373,37.7517388978063,60.4776139640556,44.4966232985624,100.0
275,KMI,False,,18.7241850984333,18.7241850984333,11.9560439560439,25.3294447804739,17.2262026612077,100.0
276,KLAC.O,True,100.0,59.5975993770289,59.5975993770289,60.2736447920523,58.9912821184266,59.7867683556948,100.0
277,KHC.O,,,,,,,,
278,KR,True,100.0,70.8445240516919,70.8445240516919,54.6614669535473,78.7012645358642,71.2638335137771,83.3333333333333
279,LHX,False,,33.8305148394802,33.8305148394802,23.0095068330362,21.9143752755308,57.9189098975596,100.0
280,LH,False,,49.4004104116361,49.4004104116361,0.0,52.4138598528842,70.4844762879563,100.0
281,LRCX.O,True,100.0,49.2647448641591,49.2647448641591,45.3632849459048,63.3590479711333,30.6908966395569,100.0
282,LW,,,,,,,,
283,LVS,True,100.0,39.0046582759219,54.0962730735829,73.3618077499934,33.8316035816035,67.1542961027827,23.9130434782608
284,LDOS.K,True,100.0,67.4311130832745,67.4311130832745,70.7366838487972,78.3977929217844,56.9959119926787,73.9130434782608
285,LEN,False,,14.7783536189286,14.7783536189286,5.44871794871795,21.7066545948393,16.0525417946093,100.0
286,LNC,True,100.0,48.2781640890569,48.2781640890569,68.9592794177682,48.7777933593172,48.5942501850627,56.25
287,LIN,True,100.0,66.5109138244691,66.5109138244691,76.910006508721,82.6931862820025,20.7192217514705,100.0
288,LYV,,,,,,,,
289,LKQ.O,False,,20.5134752830223,20.5134752830223,4.02199932735869,21.3268643703385,42.2142613442511,100.0
290,LMT,True,81.0,49.8278550280278,49.8278550280278,53.8093920953961,58.2450993961389,35.4980188129628,77.7777777777777
291,L,False,,24.3026304905565,24.3026304905565,19.9042158076497,22.7836496470527,33.9167519617878,100.0
292,LOW,True,100.0,61.7377782243661,61.7377782243661,74.9608610567514,68.9884960718294,47.1674013748218,100.0
293,LUMN.K,True,100.0,42.4154590054779,42.4154590054779,45.6155760503586,28.3026778767301,68.2660025348355,88.0434782608695
294,LYB,True,100.0,49.1262367583746,49.1262367583746,43.8566778967438,39.3847855221974,74.9421386752224,100.0
295,MTB,False,,29.606362783297,29.606362783297,23.3924052277195,35.6206270555547,29.9044694643466,87.037037037037
296,MRO,True,100.0,65.5509733196573,65.5509733196573,49.7618343195266,72.0499751285129,77.1184906273902,85.0
297,MPC,True,100.0,56.5926636559986,56.5926636559986,39.9391249775865,66.4480443185405,63.4424248694707,100.0
298,MKTX.O,,,,,,,,
299,MAR.O,True,100.0,63.4402385465387,63.4402385465387,68.6835199493427,65.4003866503866,55.7810631282432,76.0869565217391
300,MMC,True,100.0,47.8802280295747,47.8802280295747,55.999118354581,50.9907445655571,53.352104418472,100.0
301,MLM,False,,28.0592789132171,28.0592789132171,5.66037735849056,28.5925227070993,66.8693180208575,100.0
