,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
90,CCL,12144.0,20555.0,25365.0,24443.0,24216.0,22597.0,23771.0,24204.0,24556.0,23929,23832
91,CARR.K,6767.0,6252.0,14102.0,13917.0,,,,,,,
92,CTLT.K,4795.0,4274.0,3505.4,2288.2,1086.7,723.5,635.9,634.0,-371.2,-410.7,-350.7
93,CAT,16484.0,15331.0,14588.0,14039.0,13697,13137,14809,16746,20811,17532,12883
94,CBOE.K,3604.8,3348.9,3355.6,3241.0,3110.6,317.946,259.645,250.067,284.517,239.122,236.27
95,CBRE.K,8528.193,7078.326,6232.693,4938.797,4114.496,3014.487,2712.652,2259.83,1895.785,1539.211,1151.481
96,CDW.O,705.7,1297.1,960.3,975.2,985.6,1045.5,1095.9,936.5,711.7,136.5,-7.3
97,CE,4189.0,3526.0,2507.0,2984.0,2887,2588,2378,2818,2699,1730,1341
98,CNC,26795.0,25773.0,12551.0,10917.0,6850.0,5895.0,2157.0,1744.0,1234.041,953.056,935.634
99,CNP,9415.0,8348.0,8359.0,8058.0,4688,3460,3461,4548,4329,4301,4222
100,CDAY.K,2227.5,2098.2,1882.3,1615.5,1091.2,967.2,,,,,
101,CF,3206.0,2922.0,2897.0,2958.0,3579.0,3348.0,4035.0,4209.7,5076.1,5902.2,4547.0
102,CRL,2534.82,2114.602,1634.584,1317.332,1045.08,836.768,733.067,672.203,640.984,600.805,525.583
103,SCHW.K,56261.0,56060.0,21745.0,20670.0,18525,16421,13402,11803,10381,9589,7714
104,CHTR.O,14050.0,23805.0,31445.0,36285.0,39084,40139,-46,146,151,149,409
105,CVX,139067.0,131688.0,144213.0,154554.0,148124,145556,152716,155028,149113,136524,121382
106,CMG,2297.374,2020.135,1683.026,1441.339,1364.445,1402.493,2127.974,2012.369,1538.288,1245.926,1044.226
107,CB,59714.0,59441.0,55331.0,50312.0,51172,48275,29135,29587,28825,27531,24332
108,CHD,3233.2,3020.4,2667.8,2453.8,2218.0,1977.9,2023.2,2101.9,2299.9,2060.9,2040.6
109,CI,47112.0,50321.0,45338.0,41028.0,13711,13723,12035,10774,10567,9769,7994
110,CINF.O,13105.0,10789.0,9864.0,7833.0,8243,7060,6427,6573,6070,5453,5033
111,CTAS.O,3308.196,3687.847,3235.202,3002.721,3016.526,2302.793,1842.659,1932.455,2192.858,2201.492,2139.135
112,CSCO.O,39773.0,41275.0,37920.0,33571.0,43204,66137,63586,59698,56654,59120,51286
113,C,201972.0,199442.0,193242.0,196220.0,200740,225120,221857,210185,204339,189049,177806
114,CFG,23420.0,22673.0,22201.0,20817.0,20270,19747,19646,19268,19196,24129,23393
115,CLX,556.0,411.0,908.0,559.0,726,542,297,118,154,146,-135
116,CME.O,27399.3,26319.9,26128.9,25918.5,22411.8,20340.7,20551.8,20923.5,21154.8,21419.1,21552.0
117,CMS,6631.0,5496.0,5018.0,4755.0,4441,4253,3938,3670,3454,3194,3028
118,KO,22999.0,19299.0,18981.0,16981.0,17072,23062,25554,30320,33173,32790,31635
119,CTSH.O,11991.0,10836.0,11022.0,11424.0,10669.0,10728.0,9278.0,7740.2,6135.791,4854.383,3952.886
120,CL,609.0,743.0,117.0,-102.0,-60,-243,-299,1145,2305,2189,2375
121,CMCSA.O,96092.0,90323.0,82726.0,71613.0,68616,53943,52269,52711,50694,49356,47274
122,CMA,7897.0,8050.0,7327.0,7507.0,7963,7796,7560,7402,7150,6942,6868
123,CAG,8787.7,8551.8,7876.1,7384.6,3676.2,3990.8,3713.6,4526.0,5258.5,5264.4,4439.5
124,COP,45406.0,29849.0,34981.0,31939.0,30607,34974,39762,51911,52090,47987,65239
125,ED,20037.0,18847.0,18022.0,16726.0,15418,14298,13052,12576,12245,11869,11649
126,STZ,11731.9,13598.9,12131.8,12551.0,7975.1,6891.2,6559.6,5770.7,4981.3,2860.3,2676.0
127,CEG.O,11219.0,12399.0,13484.0,,,,,,,,
128,COO,6941.8,3824.6,3628.4,3307.6,3175.7,2695.8,2667.509,2569.878,2404.535,2192.751,1937.488
129,CPRT.O,4625.599,3529.201,2489.516,1778.381,1581.099,1098.066,774.456,964.464,1003.499,762.401,561.117
130,GLW,12333.0,13257.0,12907.0,13792,15698,17893,18788,21579,21162,21486,21078
131,CTVA.K,25384.0,24824.0,24309.0,74660,,,,,,,
132,CSGP.O,5711.672,5375.359,3405.593,3021.942,2651.25,1654.213,1543.78,1513.546,927.862,826.343,659.177
133,COST.O,20642.0,17564.0,18284.0,15243,12799,10778,12079,10617,12303,10833,12361
134,CTRA.K,11788.0,2215.707,2151.487,2088.159,2523.905,2567.667,2009.188,2142.733,2204.602,2131.447,2104.768
135,CCI,8258.0,9461.0,10489.0,11571.0,12339.082,7557.115,7089.221,6716.225,6926.717,2938.746,2691.277
136,CSX.O,13490.0,13101.0,11848.0,12563,14705,11679,11652,11152,10483,9122,8455
137,CMI,8474.0,8062.0,7507.0,7348,7259,6875,7406,7749,7510,6603,5492
138,CVS,75075.0,69389.0,63864.0,58225,37691,36830,37196,37958,37938,37653,38051
