,Symbol,2021,2020,2019,2018,2017,2016
41,ADI.O,2.430407838,4.549446116,3.738009301,2.81951601,3.229790404,4.332365666
42,ANSS.O,8.06189132,8.70107918,7.41094943,4.71254494,5.474103365,3.584288902
43,AON,30.124030783,13.671113495,13.963542096,8.226380103,6.494144928,5.408199301
44,APA.O,-9.283113388,-3.26396149,1.52712372,1.31583915,2.293995066,3.72273606
45,AAPL.O,46.234021081,34.476295665,14.419108074,7.000209914,6.471662889,4.81902195
46,AMAT.O,11.461183963,7.456816033,6.806992939,4.625212564,5.796042357,4.820155189
47,APTV.K,5.379819589,4.778161817,6.810530997,4.506784751,7.040627538,5.9965267
48,ACGL.O,1.285794477,1.176124913,1.557643655,1.158251147,1.333032856,1.439781607
49,ANET.K,11.437639383,7.126221389,5.848353843,8.163575223,11.290611183,6.710140604
50,AJG,4.17716812,4.121737616,3.66700287,2.979137419,2.783704136,2.507441747
51,AIZ,1.561589189,1.355608599,1.407784745,1.068884084,1.310913908,1.195773317
52,T,0.809935966201014,0.881489226440358,1.1774961194524,0.852305190746513,1.44253126972549,1.59554618720645
53,ATO,1.754624,1.768900895,2.321519132,2.162977274,2.33754999,2.22533056
54,ADSK.O,48.37724666,968.846023161,-235.377575383,-83.259612512,215.196372218,15.53026161
55,AZO,-20.398054764,-26.381459425,-15.866559718,-12.745313828,-12.716137733,-11.944207669
56,AVB,3.269605951,2.102480339,2.708120396,2.313806655,2.384026307,2.423831437
57,AVY,9.970708504,9.698886741,10.340988197,7.464824958,8.914389957,6.00850054
58,BKR.O,1.478292885,1.259428672,0.765943726,0.648691645,0.905536531,1.454839434
59,BALL.K,8.442467046,10.557137408,6.326635543,4.303447825,3.752298844,3.533101617
60,BAC,1.345693162,0.976495253,1.191457474,0.926568501,1.133031475,0.828400814
61,BBWI.K,-10.826610978,-5.32886388,-3.254283547,-4.341830931,-12.243172197,-12.788470466
62,BAX,4.900292387,4.784139489,5.484579365,3.854241406,3.719052567,2.779430543
63,BDX,2.94577941494377,2.97704846880344,3.40140434653512,2.80659909745766,3.67397194851578,4.51008586748763
64,WRB,2.172365770856,1.92114557025065,2.03904707106311,1.58541251722279,1.50555151569381,1.51719863147886
65,BRKb,1.428310867,1.31972064,1.39755716,1.341628888,1.592046816,1.494405218
66,BBY,5.790107527,6.300983847,7.30496,4.782576361,4.881290944,3.134407416
67,BIO,1.474351666,1.970436936,2.158717944,1.419824316,2.493886902,1.992376201
68,TECH.O,12.393533387,8.516582075,7.119495512,4.931052747,5.04931049,4.283803932
69,BIIB.O,3.37915493,3.502714505,3.856499904,4.40414801,5.348101785,4.712159488
70,BLK,3.779622019,3.24837636,2.394288419,1.92486914,2.74498601,2.136406382
71,BK,1.100059337,0.837268824,1.128751693,1.119869031,1.361050361,1.262038268
72,BA,-8.19043108,-10.222515068,-44.54180429,-142.360114177,162.214333071,46.127150079
73,BKNG.O,17.767485866,18.566296956,14.523819121,8.069960032,6.579089135,7.381199325
