,Symbol,2021,2020,2019,2018,2017,2016
61,BBWI.K,18.8183713035342,8.856062775,11.238805504,8.693817881,14.838947576,13.481832023
62,BAX,36.02318174,56.937683607,34.575864707,24.854242818,34.909216595,4.987873416
63,BDX,44.0594228989471,89.3997203114979,70.5684053111053,73.3827557432195,44.8577304138303,35.8978314683962
64,WRB,22.0216700743774,54.4302621219707,28.8997813952751,21.1561562373826,23.6835225553487,17.6040269946964
65,BRKb,8.043636226,15.413668505,20.827618551,14.901040604,26.205057099,17.246158777
66,BBY,9.854854292,15.230835918,15.553972995,10.948867383,17.343617412,13.128624833
67,BIO,3.427821286,4.991684094,35.066953497,5.812518616,434.601307428,54.880802558
68,TECH.O,119.520844644,50.596546911,92.111115774,58.74234872,62.697821184,38.17723474
69,BIIB.O,23.477284025,8.105689773,10.507960914,14.316168869,19.532967286,14.769306626
70,BLK,24.34599845,23.953443594,19.39440236,14.215802115,24.119980599,20.000262788
71,BK,14.797942352,9.148286744,13.108921516,13.434752826,15.818007742,16.034492094
72,BA,,,49.976680822,21.028759518,26.322389696,23.68235704
73,BKNG.O,267.597684983,66.768430964,21.052654239,19.991974982,24.346391424,37.422363261
74,BWA,13.990594298,22.086562864,11.449414597,9.021103774,14.069341558,16.013772494
75,BXP,56.446119391,14.766574711,41.143150468,32.987775032,40.49870434,39.309935306
76,BSX,55.313220224,,61.70430511,32.406855508,40.898142343,379.407121558
77,BMY,,,18.550521923,19.445078315,24.107286868,29.165897261
78,AVGO.O,44.325885622,69.320866079,48.866326583,22.322670925,65.402906343,
79,BR,39.322894261,37.91525495,31.608357256,24.669492872,31.65561155,26.144976458
80,BRO,34.250847986,29.450680515,28.347406514,20.007550019,17.801300678,24.646997418
81,BFb,45.662214925,40.794006295,40.07959824,32.089514338,34.554134938,16.482813217
82,CHRW.O,19.050366741,27.93326013,16.301753377,19.05208567,26.593156643,20.317886452
83,CDNS.O,75.100550509,35.461140381,45.838758071,90.314272064,45.48519719,30.798915566
84,CZR.O,,,49.792946834,38.736387171,,6.083882199
