,Instrument,2021,2020,2019,2018,2017,2016
161,DD,63.91143603,65.34977005,62.95099789,51.9530348,58.02187938,
162,DXC,81.80968265,74.35559216,82.54465285,71.02586294,60.22714823,52.48088816
163,EMN,80.23474,82.35253732,81.06076683,78.00305702,76.84293248,70.27617458
164,ETN,71.4186993,69.63551943,67.37392641,67.04840959,73.5230396,75.72834804
165,EBAY.O,69.41079525,60.33839041,55.91000272,53.14291588,56.28130437,54.94253893
166,ECL,77.16227466,76.39346897,71.89778297,71.09678276,67.35937249,70.78778956
167,EIX,86.33404292,85.56502127,83.38277247,71.77611902,71.02790507,62.0230677
168,EW,69.55389692,66.46878564,64.07599671,65.16595276,71.97492817,70.17424933
169,EA.O,59.09129832,48.90185517,53.29805259,51.55603768,55.05392721,49.7515214
170,ELV,88.43082363,89.28123347,84.91327981,79.81503688,65.17867015,62.47202834
171,LLY,66.86606805,69.61499988,70.4137821,71.99398418,69.76400518,71.53014423
172,EMR,69.39546522,72.11762264,72.21243665,67.61916255,69.41873875,67.13456755
173,ENPH.O,54.11413209,48.14762613,35.21643276,40.10330686,34.97205824,
174,ETR,,56.90772912,57.42484888,58.69750801,62.30084761,69.06329149
175,EOG,,55.2255809,49.83496182,44.53941689,47.07507202,41.84942345
176,EPAM.K,66.90729994,69.30651101,53.37637617,49.00262244,50.32360787,43.4891454
177,EQT,45.23221778,47.15187977,39.42691948,36.42547225,45.8430324,53.04217335
178,EFX,48.76495906,49.57917113,33.41682002,33.25995105,34.5913203,31.41636336
179,EQIX.O,64.10225767,68.28343658,67.43443697,65.89724305,68.08074126,69.01541559
180,EQR,,61.38562716,65.4116931,65.46027046,64.6283893,57.24530578
181,ESS,70.32540144,73.54182787,65.87912353,72.91793708,52.47984217,43.40258893
182,EL,70.80418248,66.36542692,62.57888938,60.84235022,62.51412473,61.25741541
183,ETSY.O,53.83791009,57.52435807,56.52761673,58.56849809,38.6646891,46.89035013
184,RE,,,51.6341326,42.36188091,40.48939687,37.7307795
185,EVRG.K,71.1397412,52.17174525,46.58268641,43.52802091,31.74524314,23.10214416
186,ES,74.57329479,76.16771962,74.2144987,71.05157858,65.27689581,66.42719791
187,EXC.O,,55.03055909,62.76904492,61.63508287,68.59323058,65.78334967
188,EXPE.O,,42.34716652,22.45799501,27.52375273,24.8687669,15.54737251
189,EXPD.O,,56.47034758,55.11650019,55.80779339,55.67203947,57.64981496
190,EXR,,33.19805211,34.68198449,40.33177181,11.77379587,10.86707629
191,XOM,,66.55484475,71.27639113,73.80618955,76.40643405,74.80272376
192,FFIV.O,,69.0020987,61.31626992,57.84932571,48.50968181,46.21949423
193,FDS,,68.18156733,61.55578337,55.92923739,61.53950802,45.079153
194,FAST.O,,39.1100985,46.16125353,32.5560867,36.62943715,34.55826198
195,FRT,,71.42113534,56.22092596,59.10386067,54.89763874,52.28025343
196,FDX,72.88182612,74.12140233,75.49652592,76.85758825,79.97470006,77.21125436
197,FITB.O,79.17999837,78.94950271,72.88365421,65.59309778,64.30064515,58.28348276
198,FRC,44.06608289,45.38247037,44.9346243,38.22343414,41.5685607,36.38396661
199,FE,67.00502444,73.139529,70.32948921,58.93316565,53.91342848,41.30922687
200,FIS,72.45244923,62.86259997,63.88946291,58.82216802,44.6813101,29.07248363
201,FISV.O,60.58097729,35.53426311,24.4350756,31.30102148,30.49255679,24.87975593
202,FLT,,49.6386323,40.18419192,21.0409195,18.49234991,14.49204868
203,FMC,70.26850369,68.5954187,66.28831056,64.32063287,60.99956338,63.64136395
204,F,79.99208892,81.05008239,81.5476107,82.70420516,78.18608441,78.32400296
205,FTNT.O,62.95648385,61.94109762,51.84278297,47.20904643,45.75745164,42.146822
206,FTV,,52.35256689,45.20971302,39.78601591,26.95831315,27.90769228
207,FBHS.K,71.19127727,53.43885259,63.48618814,59.85326586,61.92772683,59.20960456
208,FOXA.O,77.08631732,66.62455738,28.24170093,,,
209,FOX.L,,,,,,
210,BEN,,55.12053503,55.16186168,57.75651734,56.53522472,48.90971117
211,FCX,83.33416428,82.20809757,83.00050004,83.69691198,84.16231588,87.09759148
212,GRMN.K,62.27347528,63.21513518,60.59316602,58.59097425,57.74601684,59.96809452
213,IT,75.27443206,67.01880284,64.26681623,55.01659529,46.67766725,44.10333336
214,GNRC.K,30.76633022,30.45204004,30.128244,24.61863959,24.01687393,24.54791378
215,GD,,,63.03738425,56.02980879,62.76278788,58.15822425
216,GE,78.02591141,78.25573389,80.55532283,80.63828034,81.19143363,80.73906585
217,GIS,77.8658859,75.26334123,75.26357596,76.67838897,74.98852303,73.68126367
218,GM,80.38696861,77.17700573,82.72446392,85.54355577,88.30658886,84.94237031
219,GPC,,46.08764608,41.59767782,32.6283889,31.6121215,20.86369095
220,GILD.O,,84.89385365,90.99787454,92.65136239,90.87930756,80.58230487
221,GL,67.19977263,46.85220675,52.48572724,49.06438034,48.06528439,42.66250601
222,GPN,,41.08906199,26.18605846,25.3793956,14.32509293,14.96301066
223,GS,84.55984309,87.20089836,82.65544917,69.5965131,66.50631764,58.99596653
224,HAL,84.2292129,89.80472914,86.14402401,82.90906001,77.32082523,77.17725512
225,HIG,75.743125,79.17123157,74.18224978,73.95481486,76.66479393,63.96893912
226,HAS.O,,78.91656241,78.54850622,79.19436103,87.44146794,85.66273006
227,HCA,63.09410295,65.14780432,58.05554191,59.9112689,63.73391419,63.44324676
228,PEAK.K,88.26479497,89.78123215,89.72075417,80.11822049,76.99274795,73.73123382
229,HSIC.O,,74.7949014,48.27332794,51.40109113,56.59149949,52.89636006
230,HSY,88.78950508,79.79963352,77.62998204,76.0342261,74.64212484,75.66173866
231,HES,,80.35293863,81.88473889,79.52301352,78.60476215,71.11685275
232,HPE,77.20067004,77.40869501,71.28019576,67.80456388,69.67744874,67.50614463
