Instrument,ROA,EScore,SScore,GScore,Firm Size,Total Debt,Total Equity,Board Size,Board Diversity,Leverage Ratio,EScore * Board Diversity,SScore * Board Diversity,GScore * Board Diversity,Year
21,2.50357,43.9353581476868,36.6504253259423,45.0950324116076,23.594341505900847,4999000000.0,7227000000.0,9,33.3333333333333,0.6917116369171163,1464.5119382562252,1221.6808441980754,1503.1677470535851,2020
22,12.15586,78.0799373040752,75.8908344758668,60.4636363636363,23.188054044573967,3234811000.0,6384986000.0,9,33.3333333333333,0.506627735753845,2602.664576802504,2529.6944825288906,2015.4545454545412,2020
23,4.5,8.12572590011613,30.1859504132231,76.0262345679012,22.737967103804436,1174044000.0,4093433000.0,8,25.0,0.28681158333359796,203.14314750290325,754.6487603305775,1900.65586419753,2020
24,4.29186,85.7531964122001,94.3385718676733,65.2965167548501,23.68362996666261,4795000000.0,9584000000.0,9,33.3333333333333,0.5003130217028381,2858.4398804066673,3144.6190622557733,2176.550558495001,2020
25,1.26933,89.70651486401,71.8050347385592,88.4982363315696,24.29760387068735,17972000000.0,10351000000.0,10,20.0,1.7362573664380254,1794.1302972802,1436.100694771184,1769.964726631392,2020
26,11.22583,73.2479248096063,90.8135820994362,86.1757054673721,23.989559456143766,10127000000.0,9715000000.0,9,33.3333333333333,1.042408646423057,2441.597493653541,3027.119403314537,2872.523515579067,2020
27,-2.90925,56.5549501284145,80.3303130413798,75.6999999999999,23.92694680243207,7492000000.0,12075000000.0,10,30.0,0.6204554865424431,1696.648503852435,2409.9093912413937,2270.9999999999973,2020
28,7.59029,66.79192207764,89.3444822229867,49.3785273368606,24.39286052964848,14888000000.0,1379000000.0,9,55.5555555555555,10.796229151559102,3710.6623376466628,4963.582345721478,2743.251518714475,2020
29,2.7645,73.5890975730097,83.2109336767197,88.9166666666666,24.62060150962268,11936000000.0,13740000000.0,15,38.4615384615384,0.8687045123726347,2830.349906654215,3200.4205260276763,3419.871794871787,2020
30,6.38833,92.2149809522909,64.1016549391264,54.5833333333333,23.207144291656306,1384410000.0,6151179000.0,15,46.6666666666666,0.22506417062485096,4303.365777773569,2991.4105638258948,2547.222222222217,2020
31,0.479,69.0284174873698,74.3818436087225,64.5833333333333,23.425311379449326,4739000000.0,5524600000.0,12,33.3333333333333,0.85779965970387,2300.947249578991,2479.3947869574145,2152.7777777777746,2020
32,0.47425,79.3665032769552,80.0872693878517,80.5833333333333,26.34870363368244,33432100000.0,17337200000.0,18,38.8888888888888,1.928344830768521,3086.4751274371397,3114.5049206386702,3133.796296296288,2020
33,4.8286,92.3213562495964,73.5720109052016,49.4871794871794,22.844436121925547,2424331000.0,2557182000.0,10,30.0,0.9480478902166526,2769.640687487892,2207.160327156048,1484.6153846153818,2020
34,9.7,75.4296909492273,77.9089805825242,36.1862705740666,21.956205035064944,103400000.0,2723700000.0,11,36.3636363636363,0.03796306494841576,2742.8978526991696,2833.0538393645115,1315.8643845115105,2020
35,0.49871,91.7572976080469,80.5351820110127,39.0057540479057,26.493906016353662,22576000000.0,21530000000.0,18,33.3333333333333,1.0485833720390154,3058.5765869348934,2684.506067033754,1300.1918015968552,2020
37,1.9506,88.8494179476735,69.4692725872985,70.7038672554529,23.544168419464743,3510000000.0,7198000000.0,15,46.6666666666666,0.48763545429285915,4146.306170891424,3241.899387407259,3299.5138052544644,2020
38,8.23867,78.7888723088401,91.9610667634569,81.8482905982906,23.312457424165306,2747000000.0,7271000000.0,13,30.7692307692307,0.3778022280291569,2424.2729941181515,2829.5712850294367,2518.408941485859,2020
39,0.976,83.2794407612894,85.3151859262186,59.4626769626769,28.17663759086618,687987019000.0,124567652000.0,8,12.5,5.522999012616855,1040.9930095161174,1066.4398240777325,743.2834620334613,2020
40,1.2175,85.4733433636194,89.6553727585553,67.8436293436293,28.095408405523624,294321055000.0,143702640000.0,9,11.1111111111111,2.04812559463069,949.7038151513258,996.1708084283913,753.8181038181026,2020
42,5.5675,47.993925831202,65.1831797235023,48.9272844272844,24.64362670558341,17258624000.0,22793704000.0,11,9.09090909090909,0.7571662771438991,436.30841664729087,592.5743611227482,444.79349479349446,2020
43,4.2,91.4427181367701,80.9729317373969,46.3293650793651,24.7137872197221,15247061000.0,17472666000.0,7,0.0,0.8726236167966582,0.0,0.0,0.0,2020
44,6.35,91.8853211097133,89.0261994537862,87.1662376662376,26.89314748461988,78089095000.0,185784979000.0,17,23.5294117647058,0.42031974501017116,2162.007555522658,2094.734104794962,2050.9702980291127,2020
45,12.034,28.1447271971083,36.1585500702436,51.8419312169312,24.866434673867285,35800784000.0,9913451000.0,6,0.0,3.6113341358120397,0.0,0.0,0.0,2020
46,5.375,84.4499134706167,67.5337116938519,69.7156084656084,25.9104641894647,48055227000.0,73478307000.0,13,7.69230769230769,0.6540056373372892,649.6147190047437,519.4900899527067,536.2739112739106,2020
47,9.261,20.1110810485811,81.8930247188072,48.2440476190476,25.008230758777163,6071000000.0,57343000000.0,6,16.6666666666666,0.10587168442530039,335.18468414301697,1364.883745313448,804.0674603174568,2020
48,1.0018,83.9331993581806,92.3888970795662,84.0817245817245,28.33374776650207,572776000000.0,142993000000.0,11,9.09090909090909,4.005622652857133,763.029085074369,839.8990643596927,764.3793143793135,2020
49,-6.8,62.2745505740797,84.6122638624498,78.4390819390819,27.618360305040973,392548000000.0,308410000000.0,12,16.6666666666666,1.2728121656236828,1037.9091762346575,1410.204397707491,1307.3180323180266,2020
50,-6.8,62.2745505740797,84.6122638624498,78.4390819390819,27.618360305040973,392548000000.0,308410000000.0,12,16.6666666666666,1.2728121656236828,1037.9091762346575,1410.204397707491,1307.3180323180266,2020
51,0.836,81.2035397544416,87.1566459602513,80.3359173126615,31.652366165787296,16064005000000.0,3567916000000.0,9,22.2222222222222,4.502349550830233,1804.5231056542561,1936.814354672249,1785.2426069480314,2020
