,Symbol,2021,2020,2019,2018,2017,2016
243,HII,23.1,39.9,37.37,51.07,32.6,36.46
244,IBM,36.329,37.52,60.77,73.61,72.18,80.17
245,IEX,18.03,16.51,20.86,21.63,17.69,19.31
246,IDXX.O,112.67,143.73,509.31,,-362.12,-230.72
247,ITW,79.31,67.96,81.66,65.39,53.06,42.52
248,ILMN.O,11.56,14.27,23.32,26.13,23.9,24.88
249,INCY.O,19.179,-13.9,27.21,12.6,-30.55,35.29
250,IR,9.73,10.9,18.75,25.04,28.61,
251,INTC.O,25.339,28.3,28.65,29.98,24.77,20.8
252,ICE,13.789,13.6,12.74,12.16,10.73,10.84
253,IP,14.82,14.22,23.33,31.75,26.81,33.85
254,IPG,32.299,23.99,29.25,31.47,26.54,27.97
255,IFF,10.009,10.34,11.39,14.71,28.2,27.45
256,INTU.O,25.58,35.49,46.87,58.4,79.02,91.45
257,ISRG.O,15.3,13.57,20.37,23.09,19.91,17.4
258,IVZ,9.42,6.33,10.02,11.61,13.8,12.01
259,INVH.K,2.85,2.34,1.76,-0.07,-1.68,-4.07
260,IQV,29.23,20.859,20.07,15.6,12.41,14.64
261,IRM,44.1,26.41,17.53,15.08,14.42,22.08
262,JBHT.O,26.609,20.79,25.829,31.83,24.43,31.14
263,JKHY.O,26.87,21.71,19.92,20.17,24.66,24.03
264,J,14.05,12.62,12.17,12.13,9.02,8.73
265,JNJ,38.159,34.92,39.1,37.22,30.69,26.51
266,JCI,12.4,10.91,9.07,8.359,12.66,11.04
267,JPM,19.0,12.0,15.0,13.0,9.86,8.81
268,JNPR.K,13.01,11.35,12.67,14.02,16.78,16.97
269,K,41.859,47.45,51.31,63.19,68.39,65.66
270,KDP.O,9.339,8.44,7.54,11.62,35.86,37.94
271,KEY,15.98,7.86,10.04,11.98,9.26,8.76
272,KEYS.K,32.88,29.17,33.18,26.06,24.17,29.81
273,KMB,367.54,894.09,-1488.13,552.63,420.68,
274,KIM,10.56,18.63,6.96,8.2,6.99,6.46
275,KMI,9.65,6.17,6.41,5.89,4.33,4.24
276,KLAC.O,134.15,74.83,61.41,61.799,85.43,92.77
277,KHC.O,7.269,6.96,6.76,7.28,7.18,7.06
278,KR,29.53,30.24,21.699,27.3,27.32,30.27
279,LHX,13.099,11.49,9.4,,,
280,LH,28.32,27.72,15.359,16.38,16.18,17.63
281,LRCX.O,75.68,70.7,48.27,41.64,48.04,28.33
282,LW,72.31,88.2,312.569,-280.61,-40.13,45.34
283,LVS,-36.35,-39.609,46.25,42.88,38.04,28.46
284,LDOS.K,23.21,23.09,22.32,20.07,17.62,17.37
285,LEN,22.829,14.52,12.11,13.46,10.88,14.39
286,LNC,7.22,4.08,7.96,11.87,11.03,12.0
287,LIN,12.21,9.07,7.95,7.36,33.66,33.5
