,Symbol,2021,2020,2019,2018,2017,2016
196,FDX,15.12,12.78,4.94,15.81,17.49,14.01
197,FITB.O,,,,,,
198,FRC,,,,,,
199,FE,,7.06,6.9,6.7,12.19,9.57
200,FIS,,5.6,4.2,11.18,12.69,12.21
201,FISV.O,,,,22.993,24.35,24.64
202,FLT,,,,,,
203,FMC,17.93,16.9,19.53,17.26,9.09,12.17
204,F,16.93,1.71,,4.12,17.49,5.77
205,FTNT.O,-91.03,-71.13,-52.83,-46.89,-38.89,-77.92
206,FTV,,7.65,10.81,11.0,,18.38
207,FBHS.K,16.64,13.647,14.16,16.58,19.16,13.61
208,FOXA.O,14.84,16.39,14.48,21.69,,
209,FOX.L,,,,,,
210,BEN,,17.8,15.0,20.6,62.0,
211,FCX,26.22,6.15,,21.81,12.747,8.06
212,GRMN.K,23.98,25.62,23.32,23.32,24.33,27.07
213,IT,43.96,7.5,12.0,20.03,14.76,111.47
214,GNRC.K,11.305,27.47,,,,
215,GD,,13.79,15.97,16.09,33.59,34.39
216,GE,,3.57,5.299,,9.04,8.73
217,GIS,,12.2,12.37,10.61,12.33,21.15
218,GM,7.76,12.099,,8.02,12.049,12.06
219,GPC,23.6,16.09,12.6,13.66,20.47,27.98
220,GILD.O,16.5,113.51,23.3,29.92,42.92,48.02
221,GL,,,,,,
222,GPN,15.099,6.34,43.0,14.27,13.27,
223,GS,,,,,,
224,HAL,11.89,9.83,10.95,12.61,9.63,3.88
225,HIG,,,,,,
226,HAS.O,14.13,10.5,27.21,24.13,34.2,27.96
227,HCA,28.28,19.33,16.778,24.115,22.33,
228,PEAK.K,2.65,3.399,1.01,3.5,3.08,4.72
229,HSIC.O,,10.92,13.12,13.71,20.04,20.66
230,HSY,27.543,24.959,25.8,25.36,44.72,30.8
231,HES,16.6,-1.4,1.81,,-5.66,-5.8
232,HPE,92.84,6.36,10.049,8.7,3.86,12.97
233,HLT,18.26,7.77,27.45,20.59,16.92,8.93
234,HOLX.O,22.3,32.6,22.95,17.27,14.81,17.15
235,HD,49.2,43.4,32.92,48.07,39.43,52.87
236,HON.O,,17.62,17.1,20.76,23.87,20.69
237,HRL,9.75,14.89,17.6,14.64,26.99,30.91
238,HST.O,,-7.69,8.4,3.8,6.731,6.45
239,HWM,10.11,11.483,16.04,11.14,10.63,
240,HPQ,14.5,-392.69,-725.63,2300.55,-118.25,-114.04
241,HUM,10.15,23.39,18.35,22.372,66.799,
242,HBAN.O,,,,,,
243,HII,,22.28,22.4,31.89,37.03,38.81
244,IBM,,12.74,13.96,25.53,22.76,25.19
245,IEX,16.62,17.13,20.001,,,18.74
246,IDXX.O,63.43,53.11,51.42,39.6,56.17,35.57
247,ITW,35.61,26.167,29.92,30.14,35.57,22.1
248,ILMN.O,,25.94,39.53,32.54,36.33,39.04
249,INCY.O,16.0,20.8,20.3,43.5,-50.26,54.05
250,IR,9.81,6.01,7.0,19.374,,
251,INTC.O,19.21,19.13,22.197,23.01,16.25,15.76
252,ICE,11.562,7.86,9.77,9.39,11.95,8.01
253,IP,14.8,9.56,12.16,17.664,14.95,7.99
254,IPG,,21.6,9.4,15.28,34.55,23.55
255,IFF,7.93,7.59,8.16,5.77,21.87,23.66
256,INTU.O,17.15,28.44,100.74,31.8,149.172,109.77
257,ISRG.O,15.655,14.18,57.905,34.26,37.14,13.84
258,IVZ,10.8,6.799,21.1,7.62,10.91,
259,INVH.K,3.15,2.85,2.44,,,
260,IQV,14.25,9.75,11.494,9.38,10.46,7.02
261,IRM,,,,8.02,7.67,7.75
262,JBHT.O,19.849,15.4,16.3,20.58,14.63,30.11
263,JKHY.O,,29.55,22.16,20.364,31.761,39.72
264,J,6.87,12.54,10.856,9.63,13.76,12.95
265,JNJ,33.16,19.899,20.25,32.19,26.93,35.68
266,JCI,,5.59,8.737,8.69,9.91,10.4
267,JPM,,,,,,
268,JNPR.K,12.82,9.53,13.85,20.83,30.299,25.83
269,K,12.53,13.09,13.2,13.46,15.93,21.28
270,KDP.O,7.58,6.84,5.4,5.46,20.25,28.68
271,KEY,,,,,,
272,KEYS.K,36.248,28.29,28.62,20.76,14.74,
273,KMB,25.24,31.72,34.458,37.0,32.01,49.38
274,KIM,,,4.74,5.73,3.13,2.89
275,KMI,5.71,4.11,4.99,6.021,4.87,6.08
276,KLAC.O,72.66,55.23,43.07,26.199,54.62,33.44
277,KHC.O,6.39,6.03,4.808,6.07,7.627,6.26
278,KR,15.95,15.3,9.32,8.599,11.02,13.09
279,LHX,,10.42,,,,
280,LH,20.39,22.46,10.34,9.37,13.02,10.31
281,LRCX.O,63.07,62.66,,61.9,77.62,54.14
282,LW,,15.79,23.05,23.184,21.27,31.48
283,LVS,-3.56,-9.96,15.599,20.94,23.59,18.65
284,LDOS.K,,12.63,15.43,,,
285,LEN,19.32,13.3,9.93,7.8,7.33,14.92
286,LNC,,,,,,
287,LIN,9.56,9.21,6.299,4.38,16.8,12.37
288,LYV,-0.63,-67.344,11.2,10.96,4.83,9.13
289,LKQ.O,18.4,10.5,10.199,9.33,13.2,13.52
290,LMT,41.45,48.63,52.64,44.26,53.03,32.87
291,L,,,,,,
292,LOW,,41.58,19.5,24.97,29.99,17.99
293,LUMN.K,,8.07,12.4,6.12,3.89,10.55
294,LYB,27.7,10.04,21.97,27.43,28.2,20.87
295,MTB,,,,,,
296,MRO,10.339,-4.9,2.28,5.2,3.017,-3.28
297,MPC,,-1.43,6.52,9.058,13.09,
298,MKTX.O,42.299,,,,58.02,
299,MAR.O,14.3,5.39,19.382,19.79,21.699,12.06
300,MMC,,,32.5,20.3,19.34,26.94
301,MLM,,10.072,9.23,7.29,2.92,
302,MAS,53.115,53.65,54.95,50.824,14.97,63.12
303,MA,62.96,79.57,,202.9,155.48,
304,MTCH.O,26.752,44.032,,42.68,24.08,22.06
305,MKC,,9.5,7.08,10.14,10.61,22.14
306,MCD,31.18,23.9,28.21,30.11,37.205,35.9
307,MCK,681.98,285.45,32.1,21.63,16.71,16.9
308,MDT,,8.56,10.08,11.81,12.78,10.15
309,MRK,47.5,30.5,31.52,25.6,26.84,26.99
310,META.O,50.51,43.17,38.224,50.37,54.58,41.27
311,MET,,,,,,
312,MTD,57.5,45.24,43.73,52.292,48.322,26.84
313,MGM,3.4,-3.48,5.92,5.89,6.89,8.4
